frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,1.240000,2,true,false,0,0,0,0,0,0,0
1,1.260000,2,true,false,0,0,0,0,0,0,0
2,1.280000,2,true,false,0,0,0,0,0,0,0
3,1.300000,2,true,false,0,0,0,0,0,0,0
4,1.320000,2,true,false,0,0,0,0,0,0,0
5,1.340000,2,true,false,0,0,0,0,0,0,0
6,1.360000,2,true,false,0,0,0,0,0,0,0
7,1.380000,2,true,false,0,0,0,0,0,0,0
8,1.400000,2,true,false,0,0,0,0,0,0,0
9,1.420000,2,true,false,0,0,0,0,0,0,0
10,1.440000,2,true,false,0,0,0,0,0,0,0
11,1.460000,2,true,false,0,0,0,0,0,0,0
12,1.480000,2,true,false,0,0,0,0,0,0,0
13,1.500000,2,true,false,0,0,0,0,0,0,0
14,1.520000,2,true,false,0,0,0,0,0,0,0
15,1.540000,2,true,false,0,0,0,0,0,0,0
16,1.560000,2,true,false,0,0,0,0,0,0,0
17,1.580000,2,true,false,0,0,0,0,0,0,0
18,1.600000,2,true,false,0,0,0,0,0,0,0
19,1.620000,2,true,false,0,0,0,0,0,0,0
20,1.640000,2,true,false,0,0,0,0,0,0,0
21,1.660000,2,true,false,0,0,0,0,0,0,0
22,1.680000,2,true,false,0,0,0,0,0,0,0
23,1.700000,2,true,false,0,0,0,0,0,0,0
24,1.720000,2,true,false,0,0,0,0,0,0,0
25,1.740000,2,true,false,0,0,0,0,0,0,0
26,1.760000,2,true,false,0,0,0,0,0,0,0
27,1.780000,2,true,false,0,0,0,0,0,0,0
28,1.800000,2,true,false,0,0,0,0,0,0,0
29,1.820000,2,true,false,0,0,0,0,0,0,0
30,1.840000,2,true,false,0,0,0,0,0,0,0
31,1.860000,2,true,false,0,0,0,0,0,0,0
32,1.880000,2,true,false,0,0,0,0,0,0,0
33,1.900000,2,true,false,0,0,0,0,0,0,0
34,1.920000,2,true,false,0,0,0,0,0,0,0
35,1.940000,2,true,false,0,0,0,0,0,0,0
36,1.960000,2,true,false,0,0,0,0,0,0,0
37,1.980000,2,true,false,0,0,0,0,0,0,0
38,2.000000,2,true,false,0,0,0,0,0,0,0
39,2.020000,2,true,false,0,0,0,0,0,0,0
40,2.040000,2,true,false,0,0,0,0,0,0,0
41,2.060000,2,true,false,0,0,0,0,0,0,0
42,2.080000,2,true,false,0,0,0,0,0,0,0
43,2.100000,2,true,false,0,0,0,0,0,0,0
44,2.120000,2,true,false,0,0,0,0,0,0,0
45,2.140000,2,true,false,0,0,0,0,0,0,0
46,2.160000,2,true,false,0,0,0,0,0,0,0
47,2.180000,2,true,false,0,0,0,0,0,0,0
48,2.200000,2,true,false,0,0,0,0,0,0,0
49,2.220000,2,true,false,0,0,0,0,0,0,0
50,2.240000,2,true,false,0,0,0,0,0,0,0
51,2.260000,2,true,false,0,0,0,0,0,0,0
52,2.280000,2,true,false,0,0,0,0,0,0,0
53,2.300000,2,true,false,0,0,0,0,0,0,0
54,2.320000,2,true,false,0,0,0,0,0,0,0
55,2.340000,2,true,false,0,0,0,0,0,0,0
56,2.360000,2,true,false,0,0,0,0,0,0,0
57,2.380000,2,true,false,0,0,0,0,0,0,0
58,2.400000,2,true,false,0,0,0,0,0,0,0
59,2.420000,2,true,false,0,0,0,0,0,0,0
60,2.440000,2,true,false,0,0,0,0,0,0,0
61,2.460000,2,true,false,0,0,0,0,0,0,0
62,2.480000,2,true,false,0,0,0,0,0,0,0
63,2.500000,2,true,false,0,0,0,0,0,0,0
64,2.520000,2,true,false,0,0,0,0,0,0,0
65,2.540000,2,true,false,0,0,0,0,0,0,0
66,2.560000,2,true,false,0,0,0,0,0,0,0
67,2.580000,2,true,false,0,0,0,0,0,0,0
68,2.600000,2,true,false,0,0,0,0,0,0,0
69,2.620000,2,true,false,0,0,0,0,0,0,0
70,2.640000,2,true,false,0,0,0,0,0,0,0
71,2.660000,2,true,false,0,0,0,0,0,0,0
72,2.680000,2,true,false,0,0,0,0,0,0,0
73,2.700000,2,true,false,0,0,0,0,0,0,0
74,2.720000,2,true,false,0,0,0,0,0,0,0
75,2.740000,2,true,false,0,0,0,0,0,0,0
76,2.760000,2,true,false,0,0,0,0,0,0,0
77,2.780000,2,true,false,0,0,0,0,0,0,0
78,2.800000,2,true,false,0,0,0,0,0,0,0
79,2.820000,2,true,false,0,0,0,0,0,0,0
80,2.840000,2,true,false,0,0,0,0,0,0,0
81,2.860000,2,true,false,0,0,0,0,0,0,0
82,2.880000,2,true,false,0,0,0,0,0,0,0
83,2.900000,2,true,false,0,0,0,0,0,0,0
84,2.920000,2,true,false,0,0,0,0,0,0,0
85,2.940000,2,true,false,0,0,0,0,0,0,0
86,2.960000,2,true,false,0,0,0,0,0,0,0
87,2.980000,2,true,false,0,0,0,0,0,0,0
88,3.000000,2,true,false,0,0,0,0,0,0,0
89,3.020000,2,true,false,0,0,0,0,0,0,0
90,3.040000,2,true,false,0,0,0,0,0,0,0
91,3.060000,2,true,false,0,0,0,0,0,0,0
92,3.080000,2,true,false,0,0,0,0,0,0,0
93,3.100000,2,true,false,0,0,0,0,0,0,0
94,3.120000,2,true,false,0,0,0,0,0,0,0
95,3.140000,2,true,false,0,0,0,0,0,0,0
96,3.160000,2,true,false,0,0,0,0,0,0,0
97,3.180000,2,true,false,0,0,0,0,0,0,0
98,3.200000,2,true,false,0,0,0,0,0,0,0
99,3.220000,2,true,false,0,0,0,0,0,0,0
100,3.240000,2,true,false,0,0,0,0,0,0,0
101,3.260000,2,true,false,0,0,0,0,0,0,0
102,3.280000,2,true,false,0,0,0,0,0,0,0
103,3.300000,2,true,false,0,0,0,0,0,0,0
104,3.320000,2,true,false,0,0,0,0,0,0,0
105,3.340000,2,true,false,0,0,0,0,0,0,0
106,3.360000,2,true,false,0,0,0,0,0,0,0
107,3.380000,2,true,false,0,0,0,0,0,0,0
108,3.400000,2,true,false,0,0,0,0,0,0,0
109,3.420000,2,true,false,0,0,0,0,0,0,0
110,3.440000,2,true,false,0,0,0,0,0,0,0
111,3.460000,2,true,false,0,0,0,0,0,0,0
112,3.480000,2,true,false,0,0,0,0,0,0,0
113,3.500000,2,true,false,0,0,0,0,0,0,0
114,3.520000,2,true,false,0,0,0,0,0,0,0
115,3.540000,2,true,false,0,0,0,0,0,0,0
116,3.560000,2,true,false,0,0,0,0,0,0,0
117,3.580000,2,true,false,0,0,0,0,0,0,0
118,3.600000,2,true,false,0,0,0,0,0,0,0
119,3.620000,2,true,false,0,0,0,0,0,0,0
120,3.640000,2,true,false,0,0,0,0,0,0,0
121,3.660000,2,true,false,0,0,0,0,0,0,0
122,3.680000,2,true,false,0,0,0,0,0,0,0
123,3.700000,2,true,false,0,0,0,0,0,0,0
124,3.720000,2,true,false,0,0,0,0,0,0,0
125,3.740000,2,true,false,0,0,0,0,0,0,0
126,3.760000,2,true,false,0,0,0,0,0,0,0
127,3.780000,2,true,false,0,0,0,0,0,0,0
128,3.800000,2,true,false,0,0,0,0,0,0,0
129,3.820000,2,true,false,0,0,0,0,0,0,0
130,3.840000,2,true,false,0,0,0,0,0,0,0
131,3.860000,2,true,false,0,0,0,0,0,0,0
132,3.880000,2,true,false,0,0,0,0,0,0,0
133,3.900000,2,true,false,0,0,0,0,0,0,0
134,3.920000,2,true,false,0,0,0,0,0,0,0
135,3.940000,2,true,false,0,0,0,0,0,0,0
136,3.960000,2,true,false,0,0,0,0,0,0,0
137,3.980000,2,true,false,0,0,0,0,0,0,0
138,4.000000,2,true,false,0,0,0,0,0,0,0
139,4.020000,2,true,false,0,0,0,0,0,0,0
140,4.040000,2,true,false,0,0,0,0,0,0,0
141,4.060000,2,true,false,0,0,0,0,0,0,0
142,4.080000,2,true,false,0,0,0,0,0,0,0
143,4.100000,2,true,false,0,0,0,0,0,0,0
144,4.120000,2,true,false,0,0,0,0,0,0,0
145,4.140000,2,true,false,0,0,0,0,0,0,0
146,4.160000,2,true,false,0,0,0,0,0,0,0
147,4.180000,2,true,false,0,0,0,0,0,0,0
148,4.200000,2,true,false,0,0,0,0,0,0,0
